Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 63052.880000000005, cantidad escalas: 14
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 59544.73, cantidad escalas: 12
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 22056.91, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 27007.739999999998, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 45723.42, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 52488.689999999995, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 68472.6, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 64964.45, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 32029.039999999997, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 27476.629999999997, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 15860.03, cantidad escalas: 2
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 16772.25, cantidad escalas: 3
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 8535.4, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 15411.02, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 34126.700000000004, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 40891.97, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 56875.880000000005, cantidad escalas: 13
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 53367.73, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 15879.91, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 20830.739999999998, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 39546.42, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 46311.69, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 62295.6, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 58787.45, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 25852.039999999997, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 21299.629999999997, cantidad escalas: 5
